n,pmid,identifier,surface_form,verdict,sentence,verdict_v2,authority_name,is_authority_name,matched_span,sentence_len
27,39398110,MESH:C565054,proliferation,TP,"Additionally, the synergistic effect was associated with the inhibition of cell proliferation and induction of cell cycle arrest.",FP,"Myeloproliferative Disorder, Chronic, with Eosinophilia",False,proliferation,129
28,40313468,MESH:D015619,system,FP,"Conclusion  In this study, the CRISPR/Cas12a system was developed for the selective detection of fadA, a specific gene in F.",FP,Respiratory System Abnormalities,False,system,124
29,22427965,MESH:D065606,effects,FP,We then investigated the effects of the anti-hTM4SF5R2-3 peptide antibody on DNA synthesis using the BrdU incorporation assay.,FP,Metabolic Side Effects of Drugs and Substances,False,effects,126
30,33804043,MESH:D017695,tissue injury,FP,"In contrast to scaffold-based tissue engineering, a tissue engineering methodology where cells have been cultured on an intelligent cell culture surface modified by temperature-responsive grafted polymer brushes have numerous advantages [50].",FP,Soft Tissue Injuries,False,tissue,242
31,35893210,MESH:C536693,well,FP,"In the present study, broadly speaking, the various types of growth among women with breast cancer were significant compared to those experienced by women without breast cancer in terms of psychological well-being.",FP,Wells syndrome,False,well-being,214
32,33167393,MESH:D014029,Tobacco,TP,Molecular and health effects in the upper respiratory tract associated with tobacco smoking other than cigarettes Int.,FP,Tobacco Use Disorder,False,tobacco,118
33,35316152,MESH:C565054,proliferation,TP,The results of CCK8 (Figure 2(b)) and Annexin-PI (Figure 2(c)) assays revealed that decreased MT1X expression resulted in the inhibition of the proliferation activity and the promotion of the apoptosis rate.,FP,"Myeloproliferative Disorder, Chronic, with Eosinophilia",False,proliferation,207
34,40754577,MESH:D060467,resistance,TP,"Discussion  Previous investigations of cellular heterogeneity in melanoma have led to a developing understanding of the distribution of functional sub-populations and how switching between phenotypes underlies metastasis and therapeutic resistance [12, 15].",FP,Disease Resistance,False,resistance,257
35,25412039,OMIM:612348,AS,FP,In Vitro Antiplasmodial and Leishmanicidal Activities The antiplasmodial activity of rotenone and its derivatives was evaluated on Plasmodium falciparum (chloroquine sensitive 3D7 strain) cultured in standard conditions [20].,FP,,False,activity,225
36,38929531,MESH:D010235,paraganglioma,TP,Introduction  Paragangliomas represent a rare group of tumors with a neuroendocrine origin that arises from the sympathetic and parasympathetic paraganglia [1].,TP,Paraganglioma,True,paragangliomas,160
37,41562066,MESH:D007154,immune dysfunction,FP,"In contrast, this review places greater emphasis on the immunoregulatory functions of ALKBH5 within the tumor immune microenvironment.",FP,Immune System Diseases,False,immune,134
38,39980516,MESH:D011832,radiation,TP,"[27] reported a single case of lung cancer with metastasis to the retro-scapular soft tissue, treated with neoadjuvant and adjuvant chemotherapy, surgery, and radiation therapy.",FP,Radiation Injuries,False,radiation,177
39,40656150,MESH:D019553,TREATED,FP,Atypical clinical behavior of p16-confirmed HPV-related oropharyngeal squamous cell carcinoma treated with radical radiotherapy.,FP,"Tooth, Nonvital",False,treated,128
40,40584026,MESH:D019553,TREATED,FP,"Camrelizumab in patients with previously treated advanced hepatocellular carcinoma: a multicentre, open-label, parallel-group, randomised, phase 2 trial.",FP,"Tooth, Nonvital",False,treated,153
41,38520209,MESH:D000092582,cytotoxic drugs,FP,3.2 GPA attenuates IL‐1β‐induced inflammation and MMPs production  Inflammation and MMPs play a critical role in the pathogenesis of OA.,FP,Drug Fever,False,induced,136
42,30385885,MESH:C004184,Probe,FP,Bonzom S    An intraoperative beta probe dedicated to glioma surgery: Design and feasibility study IEEE Transactions on Nuclear Science 2007 54 30 41 10.1109/TNS.2006.885574  ,FP,methazole,False,probe,175
43,37416766,MESH:C537245,oral potentially malignant disorders,FP,"In this study, we indicated that the CC12 treatment efficacy was not affected by the MGMT status, which implied the wide application potential of CC12 against GBM.",FP,Prostatic stromal proliferation of uncertain malignant potential,False,potential,163
44,38651158,MESH:D012804,node,TP,Utility of the one-step nucleic acid amplification assay in sentinel node mapping for early gastric cancer patients.,FP,Sick Sinus Syndrome,False,node,116
45,25120637,MESH:D065606,effects,FP,"Therefore, the effects of treatment with GXSTC drug-containing serum on NO production in TNF-α-treated ECV304 cells were determined by measuring NO generation, NOS activity and eNOS expression.",FP,Metabolic Side Effects of Drugs and Substances,False,effects,193
46,25129238,MESH:D058497,other,FP,"ncRNAs: Ensembl ""Homo_sapiens.CRCh37.69.ncrna.fa.red"" (includes precursor miRNAs and other ncRNAs).",FP,Fraser Syndrome,False,other,99
47,41035572,MESH:D003291,function,FP,"Co-occurrence, or conversely, exclusivity, of two mutations in different genes (i.e., in trans) could be a random event in cancer evolution, which is then selected or excluded to provide a functional advantage.",FP,Conversion Disorder,False,functional,210
48,39548527,MESH:D020820,oral,FP,"Selvaraj J Yasothkumar D Vishnu Priya V Raj AT Babu SD Patil S Development and tumorigenic potential of TP53: a therapeutic target for head and neck squamous cell carcinoma Oral Oncol 2022 130 105922 10.1016/j.oraloncology.2022.105922 35596977 Selvaraj J, Yasothkumar D, Vishnu Priya V, Raj AT, Babu ",FP,Dyskinesias,False,oral,312
49,40264666,MESH:D016609,TREATMENT,FP,"(2018)	Multiple cancers	Treatment	RCT	50/50	50/53	WHO	NR	Kangfuxin liquid	Interleukin-11	Gargle: 40 mL	7 days	Cure rate, efficacy rate	 Li et al.",FP,"Neoplasms, Second Primary",False,treatment,145
50,40322497,MESH:D019344,lactate,FP,"Then, the laboratory information of the patients, including the number of White Blood Cells and their differentiation (WBC), the level of HB and the rate of Erythrocyte Sodium concentration (ESR), and the results of the biochemical analysis of the pleural fluid, including the amount of protein, gluc",TP,Lactic Acid,False,lactate,345
51,25331779,MESH:D020922,TSS,FP,"POR is almost the rule in most CD patients undergoing ileocecal resection with ileocolic anastomosis; thus, most patients should start efficient preventive measures (give up smoking and, in a vast majority, thiopurine therapy).",FP,Sleep-Wake Transition Disorders,False,start,227
52,33774476,MESH:D004194,disease,FP,Lipid peroxidation and oxidative imbalance: early functional events in Alzheimer's disease J Alzheimers Dis 6 2 2004 171 175 10.3233/jad-2004-6209 15096701 55 Markesbery W.R.,TP,Disease,True,disease,174
53,25070626,MESH:D019588,Aging,TP,"Moreover, Sir2, a yeast homolog of SIRT1, has been shown to be an important regulator of aging (Guarente & Kenyon, 2000), suggesting that SIRT1 may also be involved in aging and longevity.",FP,"Aging, Premature",False,aging,188
54,25649941,MESH:D009402,changes,FP,Changes in cortisol concentration in response to stress and postoperative pain in client-owned cats and correlation with objective clinical variables .,FP,"Nephrosis, Lipoid",False,changes,151
55,40894913,MESH:D012078,artery,TP,"These findings were confirmed in a second hemostasis model consisting of needle puncture of the carotid artery, which is much more severe than the classical tail bleeding assay (Figure 2E).",FP,Renal Artery Obstruction,False,artery,189
56,40430527,MESH:D014777,viral infection,FP,Inhibition of Vesicular Stomatitis Viral mRNA Synthesis by Interferons J.,FP,Virus Diseases,False,viral,73
57,36497319,MESH:D004829,GENERAL,FP,"For example, diagnoses are based on documentation of ICD-10 codes by general practitioners.",FP,"Epilepsy, Generalized",False,general,91
58,36845025,MESH:D020178,advanced,FP,"With the advancement of oncology, numerous molecular targeted agents, anti-angiogenesis monoclonal antibodies, and immunotherapeutic regimens are receiving more attention as effective treatments for advanced HCC.",FP,"Sleep Disorders, Circadian Rhythm",False,advanced,212
59,22427965,MESH:D010455,peptides,TP,We then investigated the effects of the anti-hTM4SF5R2-3 peptide antibody on DNA synthesis using the BrdU incorporation assay.,TP,Peptides,True,peptide,126
60,35852388,MESH:D000075902,CTV,FP,"Correlation between HOXA4 expression and clinical characteristics in glioma patients  Glioma tissue with associated HOXA4 expression data from the CGGA RNA-seq, CGGA microarray, and TCGA RNA-seq datasets were analyzed (Figure 5(a–g)).",FP,Clinical Deterioration,False,clinical,234
