n,pmid,identifier,entity,matched_span,authority_name,verdict,sentence
31,24604487,MESH:D010538,peritonitis,primary|primary,Peritonitis,FP,It is also the first trial to use the distress thermometer in primary care and the first to test a specific checklist to identify unmet needs of cancer survivors in primary care.
32,34463223,MESH:D045169,SARS,severe,Severe Acute Respiratory Syndrome,FP,"Patients aged 60–79 years and patients with severe anaemia were more likely to have investigations performed, while patients with comorbidity were less likely to have investigations performed."
33,27913747,MESH:D000075902,CTV,clinical,Clinical Deterioration,FP,"Animal experiments and clinical studies have both confirmed that ER antagonists can inhibit cancer cell growth16–19 and reverse chemotherapeutic drug resistance.20 For example, combination therapy with an ER antagonist and cisplatin had good outcomes in chemotherapy-resistant lung cancer and did not induce resistance,21 suggesting the potential for endocrine therapy in lung cancer treatment."
34,39149498,MESH:D007154,immune dysfunction,immune,Immune System Diseases,FP,"Gene set enrichment analysis (GSEA) demonstrated the upregulation of genes associated with immune processes and chemokine activities, particularly through the CC chemokine receptor (CCR), in Ptpn11E76K/+ mutant hematopoietic cells (Extended Data Fig."
35,41162347,MESH:D000075902,CTV,clinical|clinical,Clinical Deterioration,FP,cancer clinical pharmacology clinical trial healthy volunteer oncology pharmacokinetics source-schema-version-number2.0 cover-dateNovember 2025 details-of-publishers-convertorConverter:WILEY_ML3GV2_TO_JATSPMC version:6.6.4 mode:remove_FC converted:29.10.2025 Y.
36,34514093,MESH:D060467,resistance,resistance,Disease Resistance,FP,Temozolomide resistance and tumor recurrence: Halting the Hedgehog Cancer Cell Microenviron.
37,25348012,MESH:D000080888,NSMP,specific,Specific Language Disorder,FP,"For BRCA1 and BRCA2, the UMD-BRCA1 (4 February 2014 update) and UMD-BRCA2 (22 January 2014 update) mutation databases [28,38,39] were used to collect information on specific BRCA1 and BRCA2 mutations."
38,40322497,MESH:D010995,pleural thickening,pleural,Pleural Diseases,TP,"Then, the laboratory information of the patients, including the number of White Blood Cells and their differentiation (WBC), the level of HB and the rate of Erythrocyte Sodium concentration (ESR), and the results of the biochemical analysis of the pleural fluid, including the amount of protein, glucose and lactate dehydrogenase, were recorded."
39,41084019,MESH:D042822,genomic abnormalities,genomic,Genomic Instability,FP,"Large genomic domains (on the order of 104 to 106 bp) were more likely to have differentially open regions than to have other regions (< 103 bp), with different peaks in these domains (Fig."
40,26263979,MESH:D065703,apoptosis,apoptosis,"Malformations of Cortical Development, Group I",FP,Figure 6 Effect of caspase-resistant Beclin-1 on autophagy and apoptosis in Beclin-1 knock down cells.
