n,pmid,identifier,entity,matched_span,authority_name,verdict,sentence
16,41028942,MESH:D013921,thrombocytopenia,thrombocytopenia,Thrombocytopenia,TP,"As HSCs are critical for the production of blood cells, their impairment leads to severe consequences, including anaemia, thrombocytopenia, and leukopenia."
17,38874808,5921,RASA1,rasa1,,TP,"Specifically, the most promising variants are the amino acid substitutions c.1811 C > G (p.(Ser604Cys)) and c.2656 C > T (p.(Pro886Ser)) affecting the RAF1 and RASA1 genes, respectively."
18,28667319,MESH:D064147,febrile neutropenia,febrile neutropenia,Febrile Neutropenia,TP,2010 Update of EORTC guidelines for the use of granulocyte- colony stimulating factor to reduce the incidence of chemotherapy-induced febrile neutropenia in adult patients with lymphoproliferative disorders and solid tumours.
19,40158356,MESH:D014890,Wegener's granulomatosis,eosinophilic granulomatosis with polyangiitis|granulomatosis with polyangiitis,Granulomatosis with Polyangiitis,TP,"Autoimmune-related granulomatous inflammation encompasses conditions such as Crohn's disease, sarcoidosis, and various forms of vasculitis, including granulomatosis with polyangiitis, giant cell arteritis, Takayasu's arteritis, and eosinophilic granulomatosis with polyangiitis (formerly Churg–Strauss syndrome) [7,9]."
20,36356412,MESH:D001661,biliary tract cancer,biliary tract cancer,Biliary Tract Neoplasms,TP,Combination gemcitabine plus S-1 versus gemcitabine plus cisplatin for advanced/recurrent biliary tract cancer: the FUGA-BT (JCOG1113) randomized phase III clinical trial Ann Oncol 30 2019 1950 1958 31566666 52 Nakayama G.
21,30598658,MESH:D015032,zinc,zinc,Zinc,FP,"The large zinc finger superfamily that may bind RNA and DNA have been detected in human blood by partition chromatography, organic extraction of endogenous peptides and Western blot [25, 26, 30]."
22,39680522,MESH:D003840,sodium deoxycholate,sodium deoxycholate,Deoxycholic Acid,TP,"2.5 Western-blotting  After washing with prechilled PBS, the MDCK cells were lysed with the buffer containing 50 mM Tris-HCL, 1% TritonX-100, 150 mM NaCl, 1% sodium deoxycholate, 0.1% SDS, and 100x protease inhibitor."
23,30850633,MESH:D003681,dehydration,dehydration,Dehydration,FP,"After dehydration in a series of increasing ethanol concentrations, samples were transferred for critical drying (Leica) and subsequently sputter-coated with gold (Leica), before imaging with a scanning electron microscope (JEOL 6701)."
24,39655332,4297,MLL,mll-af9,,TP,(2013) Shi J Wang E Zuber J Rappaport A Taylor M Johns C Lowe SW Vakoc CR 2013 The polycomb complex PRC2 supports aberrant self-renewal in a mouse model of MLL-AF9; Nras(G12D) acute myeloid leukemia Oncogene 32 930 938 10.1038/onc.2012.110 22469984 Shih et al.
25,39468462,59336,PRDM13,prdm13,,TP,"However, there is no significant prognostic correlation observed with the expression of PRDM1, MECOM, PRDM4, PRDM5, PRDM7, PRDM8, PRDM9, PRDM10, PRDM12, PRDM13, PRDM15, and PRDM16 (A, C-E, G-J, L-O)."
26,38411275,7941,PLA2G7,pla2g7,,TP,"To identify the most required gene for resistance to PARP inhibition, we then utilized a siRNA screen targeting the five genes bioinformatically ranked as putative resistance genes (CLCN7, ACSM4, PLA2G7, SLC5A7, and MPC1), followed by measurement of cell proliferation upon Olaparib treatment (Supporting Information S1: Figure 3A)."
27,30794674,OMIM:603663,health,health,,TP,This study may help inform cost data needed for public health policy decisions focused on providing cost-effective prevention and treatment of lung cancer.
28,40741879,MESH:D000596,amino acids,amino acid,Amino Acids,TP,"For example, in the case of the vaccines like nelipepimut‐S (NP‐S), a nine‐amino acid peptide derived from the extracellular domain of the HER2 protein."
29,36672527,2335,fibronectin,fibronectin,,TP,High expression of fibronectin 1 indicates poor prognosis in gastric cancer Oncol.
30,30147362,MESH:D000230,adenocarcinoma,adenocarcinoma,Adenocarcinoma,TP,"For example, the tPTC was accepted as a variant with relatively aggressive behaviors such as invasion, metastasis, and recurrence.6  The activator protein 2 (AP-2) family of transcription factors includes five highly homologous members (AP-2α, AP-2β, AP-2γ, AP-2δ, and AP-2ε) known to be important in differentiation, cell growth, and apoptosis.7 AP-2α plays key roles in tumorigenesis and progression, such as glioma, lung cancer, and gastric adenocarcinoma, by regulating gene expression at the transcriptional levels.8–10 A group of previous studies have demonstrated that AP-2α was associated wit"
