# Mechanism-tag precision audit (#MECH-PRECISION).
# 325 (mechanism, PMID) pairs sampled from the frozen corpus: up to 15 per
# mechanism, seed 23. Each pair was adjudicated by an independent LLM agent that
# read the article and judged whether it genuinely concerns that therapeutic
# mechanism. Agents were blocked from reading scripts/config.py and tags/.
# These are MACHINE adjudications, not human labels. Verdicts are yes /
# borderline (mentioned as context, not studied) / no (false positive).
mechanism,pmid,verdict,reason,likely_trigger
antibody-drug-conjugate,40045156,yes,"Title and abstract are a dedicated review of ""FRα-targeting antibodies and antibody-drug conjugates (ADCs), the first of which has been approved for the treatment of ovarian cancer"".",
antibody-drug-conjugate,40072062,yes,"A dedicated review whose stated aim is ""to provide a comprehensive overview of the advancements in ADCs"" including ""the structure and mechanism of action, an analysis of recent clinical trials"" for uterine malignancies.",
antibody-drug-conjugate,41422272,yes,"The study's central finding is that ""the HER2-targeted antibody-drug conjugate (ADC) trastuzumab deruxtecan is significantly more effective than the HER kinase inhibitor neratinib"" in urothelial cancer models, and it argues for expanded trials of HER2-targeted ADCs.",
antibody-drug-conjugate,41579215,yes,"The review is entirely about ""Bispecific antibody-drug conjugates (BsADCs) represent a promising strategy to overcome limitations of conventional ADCs in breast cancer"", covering linker technology and drug-to-antibody ratio.",
antibody-drug-conjugate,41630477,borderline,"The paper is a bibliometric cartography of NSCLC *vaccine* research; ADCs appear only as landscape background (""ADCs, which conjugate highly specific monoclonal antibodies to potent cytotoxic agents, have recently been established as a cornerstone of NSCLC therapy"") and as one named combination partner, never as an analysed subject.","""antibody-drug conjugates"" / ""ADCs"" in the abstract's combination-partner list and a single Introduction background paragraph (T-DXd, datopotamab deruxtecan)"
bioelectric,18983911,no,"Membrane voltage appears only as an apoptosis/mitochondrial-function readout -- ""mitochondrial membrane potential was analyzed to investigate mitochondrial function"" -- in a cisplatin/zidovudine oxidative-stress study with no bioelectric therapy whatsoever.","""mitochondrial membrane potential"" (also MeSH ""Membrane Potential, Mitochondrial"")"
bioelectric,24138843,no,"The only voltage-related content is an apoptosis readout -- ""Rh-123 stained cells were separated into two populations (M1; higher membrane potential, M2; lower membrane potential)"" and ""a significant change in mitochondrial membrane potential (deltaPsi-m) that is associated with release of cytochrome-c"" -- in a paper about EGFR/VEGFR inhibition plus UV-B phototherapy.","""membrane potential"" (mitochondrial, Rh-123 assay; MeSH ""Membrane Potential, Mitochondrial"")"
bioelectric,25363302,no,"The only voltage-related content is an apoptosis assay readout: ""we monitored mitochondrial membrane potential, Δψm, in CTOS before and after exposure to MMC using fluorescence microscopy"" with MitoTracker, and the study is about intravesical epirubicin/mitomycin C chemotherapy, not bioelectric therapy.","""mitochondrial membrane potential"" (MeSH ""Membrane Potential, Mitochondrial"")"
bioelectric,25525610,yes,"A genuine bioelectric-therapy review: 'Mastery of somatic voltage gradients will lead to cancer normalization or rebooting strategies', with Vmem depolarization/hyperpolarizing ion channels as the therapeutic lever, not a mitochondrial assay.",
bioelectric,25670331,no,"The only voltage-related content is an apoptosis assay readout: ""mitochondrial membrane potential measurements were consistent with apoptosis-related cell death"" in a phosphatidylserine-targeted nanovesicle paper with no bioelectric signalling or membrane-voltage modulation as therapy.",mitochondrial membrane potential
bioelectric,27060208,no,"The only voltage-related content is a JC-1-style apoptosis readout: ""CQ-induced mitochondrial cristae damage, which leads to mitochondrial membrane depolarization"" -- an assay endpoint of an autophagy-inhibitor study, with no bioelectric signalling or membrane-voltage modulation as therapy.","""mitochondrial membrane depolarization"" / MeSH term ""Membrane Potential, Mitochondrial"""
bioelectric,28346389,no,"The paper is a 5-ALA sonodynamic-therapy cytotoxicity study; the only voltage-like string in the record is the MeSH heading ""Membrane Potential, Mitochondrial"" (the JC-1 apoptosis readout accompanying ""oxidation of the mitochondrial membrane via ROS production""), and the words bioelectric, ion channel and depolarization never appear.","MeSH term ""Membrane Potential, Mitochondrial"" (i.e. bare ""membrane potential"")"
bioelectric,30519193,yes,"Genuine bioelectric-signalling review with a ""Cancer Progression"" section, concluding ""Modulation of the RMP is therefore a potential target for many new drugs targeting a range of diseases and biological functions from cancer through to wound healing"" -- resting membrane potential as signalling/therapeutic target, not a mitochondrial assay readout.",
bioelectric,36362089,no,"This is a photodynamic-therapy study of Ru(II) photosensitizers whose only voltage-related sentence is an apoptosis readout: ""preceded by the loss of mitochondrial membrane potential soon after photoactivation and ROS production"", with no bioelectric signalling or membrane-voltage modulation as therapy.","""loss of mitochondrial membrane potential"""
bioelectric,38396172,no,"The only voltage language in the paper is an apoptosis readout -- ""decreased mitochondrial outer membrane potential (MOMP)"" -- and the actual electrical modality studied is TTFields, which carries its own tag; the word ""bioelectric"" appears nowhere in the body text.","""mitochondrial outer membrane potential (MOMP)"" / bare ""membrane potential"""
bioelectric,40125434,no,"The only voltage language is a JC-1 apoptosis readout -- ""Mitochondrial membrane potential (MMP) was detected by flow cytometry using JC-1 assay kit"" -- in a paper about resveratrol-loaded layered-double-hydroxide nanoparticles inhibiting glycolysis, with no bioelectric signalling or membrane-voltage modulation as therapy.","""mitochondrial membrane potential"" / ""membrane potential"" (JC-1 assay readout)"
bioelectric,40208346,no,"The only voltage-related content is an apoptosis readout: ""Intracellular reactive oxygen species (ROS) levels and mitochondrial membrane potential were evaluated using a ROS assay kit and a JC-1 staining kit"" in a low-intensity pulsed ultrasound study, with no bioelectric signalling or membrane-voltage modulation as therapy.","""mitochondrial membrane potential"" (JC-1 staining; MeSH ""Membrane Potential, Mitochondrial"")"
bioelectric,40423138,no,"The only voltage-related content is a JC-1 apoptosis readout -- ""we employed a mitochondrial membrane potential assay kit (JC-1) to assess changes in mitochondrial membrane potential"" -- with no bioelectric signalling or membrane-voltage modulation as therapy anywhere in the paper.","""mitochondrial membrane potential"" (bare phrase ""membrane potential"", 10 occurrences, all mitochondrial-assay)"
bioelectric,40542009,no,"The only voltage-related content is an apoptosis assay readout: ""ROS generation and mitochondrial membrane potential were analyzed using 2,7-Dichlorofluorescein diacetate and Rhodamine 123"" -- no bioelectric signalling or membrane-voltage modulation as therapy anywhere in the paper.","""mitochondrial membrane potential"" (also MeSH ""Membrane Potential, Mitochondrial""; plus ""depolarization of mitochondria"")"
bioelectric,41472305,no,"Every one of the 8 ""membrane potential"" hits is the JC-1/TMRM apoptosis readout — ""Annexin V staining, JC-1/TMRM probes, and Western blot analysis demonstrated induction of apoptosis and reduction of mitochondrial membrane potential"" — with no voltage modulation as therapy anywhere; the actual therapy is an oncolytic adenovirus.","""mitochondrial membrane potential"" (bare phrase ""membrane potential""), reinforced by the MeSH term ""Membrane Potential, Mitochondrial"""
bispecific-antibody,36793863,yes,"A review built on ""the first bispecific antibody approved by the FDA against B cell malignancies (blinatumomab)"" that develops the bispecific/multispecific antibody format as its subject (trispecific extensions, CD3 co-engagement).",
bispecific-antibody,36971124,yes,"The article is a dedicated review titled ""Bispecific antibodies targeting immunomodulatory checkpoints for cancer therapy"" covering agents such as cadonilimab and blinatumomab.",
bispecific-antibody,37046674,yes,"The paper develops and tests ""a novel single chain bispecific antibody (scDb) targeting the cancer-specific hERG1/beta1 integrin complex"" combined with gemcitabine in PDAC in vitro and in vivo.",
bispecific-antibody,38429446,yes,"""we constructed BsAb5003, a novel humanized bispecific monoclonal antibody targeting CD3 and GPRC5D, and evaluated its therapeutic impact on MM"".",
bispecific-antibody,38468289,yes,"The construct is explicitly bispecific: ""we introduced a bispecific antibody-based nanoengager"" carrying ""anti-CD40 scFv for engaging with macrophages and anti-Claudin18.2 (CLDN18.2) scFv for interacting with tumor cells.""",
bispecific-antibody,38527972,yes,"The paper develops a bispecific format: ""we present RUBY, a novel bispecific antibody format that allows rapid generation of bsAbs that fulfill key development criteria"".",
bispecific-antibody,38910324,yes,"The agent under study is a bispecific T cell engager: ""an oncolytic adenovirus, Ad5/3-E2F-d24-aMUC1aCD3-IL-2 (TILT-322), which is armed with a human aMUC1aCD3 T cell engager and IL-2.""",
bispecific-antibody,39614368,yes,"The article is a phase Ia/Ib trial of ""the first-in-class bispecific antibody IBI318 (LY3434172) targeting PD-1 and PD-L1"", i.e. the bispecific agent is the subject of study.",
bispecific-antibody,39749925,yes,The paper develops the molecule itself: 'we developed a pH-responsive anti-polyethylene glycol (PEG) x anti-TfR bispecific antibody (pH-PEG engagerTfR)' and tests it in a glioblastoma xenograft model.,
bispecific-antibody,40234667,yes,"The trial drug is the mechanism: ""EMB-02 is a symmetric bispecific antibody targeting programmed cell death protein-1 and lymphocyte-activation gene 3 simultaneously"", evaluated in a first-in-human phase I dose escalation.",
bispecific-antibody,40521192,yes,"The bispecific antibody is the core targeting agent of the therapy studied: ""a three-step DOTA-PRIT regimen to deliver DOTA radiometal payloads to CRC using an anti-tumor/anti-DOTA bispecific antibody (BsAb) targeting cell surface glycoprotein A33 (GPA33)"".",
bispecific-antibody,40575948,yes,"The title and abstract make BsAbs a co-subject: ""This review analyzes the efficacy and safety profiles of several CD19-targeted CAR T-cell therapies and emerging CD20xCD3 BsAbs across various B-cell lymphoma subtypes.""",
bispecific-antibody,41154706,yes,"The review's purpose is explicit: ""This review aims to provide the characteristics of BsAbs and BsADCs and their recent applications in PDAC treatment.""",
bispecific-antibody,41200165,yes,"Bispecifics are one of the review's three declared pillars -- ""focusing on key areas: monoclonal antibody production, bispecific antibody development, and CAR-T cell engineering"" -- with dedicated ""Bispecific antibodies"" and ""mRNA-encoded bispecific antibodies"" sections covering blinatumomab, teclistamab, talquetamab and the BNT142 CLDN6xCD3 program.",
bispecific-antibody,41317730,yes,"A bispecific is built and tested in vivo: ""a GPC3/CD3 bispecific antibody elicited strong antitumor activity mediated by intratumoral recruitment and activation of T cells.""",
car-t,34367185,yes,"CAR T is a central subject of the review: ""Immune checkpoint inhibitors and chimeric antigen receptor T-cells (CAR T) were however the main approaches that catapulted the therapeutic success of immunotherapy"", extending to ""the generation of CAR T-cells in vivo"".",
car-t,34412685,yes,"The review is entirely about CAR-T: ""The purpose of this review is to discuss and explain the most recent advances in CAR T cell-based therapies targeting AML antigens and review the results of preclinical and clinical trials.""",
car-t,35095911,yes,"The whole review is about CAR-T: ""we will discuss some of the key barriers to the activity of CAR-T cells in the immunosuppressive TME and focus on how RT can be used to eliminate or bypass these barriers.""",
car-t,35148469,yes,"CAR-T is reviewed substantively across several vector sections, e.g. ""axicabtagen ciloleucel (Yescarta, Gilead) is a CD19 CAR-T cell therapy ... which utilizes gammaretroviral vector for chimeric receptor gene delivery"" and ""AAVs could also be used for CAR-T cell generation in vivo.""",
car-t,36311728,yes,"The review devotes a therapeutic section to CAR-T engineering: ""the addition of CXCR6 to specific CAR-T cells enhances their intratumoral accumulation and prolongs survival in animal models of pancreatic, ovarian and lung cancer"" and ""Survival was prolonged only when the CAR-T cells co-expressed CXCR6.""",
car-t,37224816,yes,"The entire study engineers CAR T cells: 'a practical and clinically actionable in vitro production method for engineering peripheral blood T cells into a large number of ""stem-like"" CAR-TRM cells'.",
car-t,37830150,yes,"It is a dedicated review of ""chimeric antigen receptor T-cell therapy (CAR T-cell therapy)"" and its preclinical and clinical evidence in breast cancer.",
car-t,37992682,yes,"Primary research showing ""GRP78-CAR T cells can recognize and kill GRP78+ brain and solid tumors in vitro and in vivo"", i.e. CAR-T development is the entire study.",
car-t,38701405,yes,"""we report a retrospective experience of 6 US centers of patients with MCL with SCNS involvement receiving CAR-T therapy"".",
car-t,39091493,yes,"A dedicated review that ""explores CAR-T cells as a living drug for cancer treatment"", covering structure optimization, generations, manufacturing and a suicide-gene safety mechanism.",
car-t,39548594,yes,"The paper develops and tests CAR-T therapy: ""we evaluated the therapeutic benefits of anti-mesothelin hYP218 CAR T cells alone, and in combination with anti-PD1 antibody, pembrolizumab"".",
car-t,40205818,yes,"A dedicated review of the modality: ""This review summarises the latest research on CAR-engineered cell therapies, with a particular focus on CAR-T cell therapy"", covering CAR-T, CAR-NK and CAR-M platforms.",
car-t,40332761,yes,"CAR-T is one of the named strategies the review summarizes (""chimeric antigen receptor T-cell therapy (CAR-T)"") and it carries multiple pages of specific trials, e.g. ""several clinical trials aimed to evaluate mesothelin-targeted CAR-T products for TNBC"" and ""An anti-ROR-1 CAR-T trial (NCT02706392)"".",
car-t,40481543,yes,"The paper's entire hypothesis is CAR-T directed: ""the success of CAR T-cell therapy can be enhanced by targeting donor T cells' ability to compete with cancer cells for key nutrients, thereby overcoming T-cell exhaustion.""",
car-t,40685330,yes,"Beyond the abstract's ""PD-1 knockout CAR-T cells"", the review devotes a dedicated section to it: ""Chimeric Antigen Receptor (CAR) T-cell therapy... CRISPR-Cas9 significantly enhances CAR-T outcomes by enabling precise CAR gene integration... CRISPR also facilitates 'off-the-shelf' allogeneic CAR-T development"" (9 CAR-T mentions), so it reviews the mechanism rather than mentioning it once.",
cold-atmospheric-plasma,31635070,yes,"CAP is the intervention under study: ""we investigated the cytotoxicity of plasma-treated phosphate-buffered saline (pPBS) using three PSC lines and four PCC lines and examined the immunogenicity of the induced cell death"".",
cold-atmospheric-plasma,35280746,yes,"CAP is a named subject of the review's thesis: ""we propose potential synergies between CAR-T therapies and cold atmospheric plasma, an emerging onco-therapeutic strategy relying on reactive species.""",
cold-atmospheric-plasma,39713205,yes,"The review explicitly covers ""physical therapies (radiotherapy, ablation therapy, photodynamic therapy, tumor-treating field therapy, and cold atmospheric plasma therapy)"" and carries a dedicated COLD ATMOSPHERIC PLASMA section.",
crispr,32570906,yes,"CRISPR is a dedicated section of this TCR-therapy review (""CRISPR/Cas9-Based Genome Editing""), including ""a CRISPR/Cas9-based editing approach was developed by simultaneously disrupting the TRAC, TRBC, beta2-microglobulin (B2M) and PDCD1 loci"" and the first-in-human CRISPR-engineered NY-ESO-1 TCR trial.",
crispr,33334906,no,"CRISPR appears only as a bench reagent for building the model system: ""We generated BRCA2-null prostate cancer cells using CRISPR/Cas9"", while the paper's subject is PARP-inhibitor/SRC-inhibitor synthetic lethality, not gene editing as a therapeutic modality.",generated BRCA2-null prostate cancer cells using CRISPR/Cas9 (methods-only gene-editing tool use)
crispr,34205379,no,"CRISPR appears only as a laboratory target-validation tool -- ""Nectin-1 and HVEM genes were knocked out using Addgene's lentiviral CRISPR/Cas9 transduction system"" -- in a study whose subject is oncolytic HSV biomarkers, not CRISPR-based therapy.","""CRISPR/Cas9"" in the Methods (""2.8. CRISPR/Cas9 Knockout""), i.e. gene editing used as a bench reagent rather than a therapeutic"
crispr,34454516,borderline,"CRISPR appears only as a discovery platform -- ""PARIS predicts synthetic lethal (SL) interactions by combining CRISPR viability screens with genomics and transcriptomics data"" plus one validation screen -- with no CRISPR-based therapeutic modality anywhere in the paper.","""CRISPR viability screens"" / ""CRISPR-Cas9 screens"" (CRISPR as a research tool, not gene-editing therapy)"
crispr,36401282,yes,"The review's stated scope is ""recent CRISPR/Cas9 developments, particularly in cancer research and immunotherapy, and the potential of CRISPR/Cas9-based screening in developing cancer precision medicine"".",
crispr,37987734,borderline,"CRISPR appears only as a discovery tool, never as a therapy: 'we performed a genome-wide CRISPR knockout screen using an isogenic pair of breast cancer cell lines' - the actual therapeutic is the TOP1 inhibitor topotecan.","""genome-wide CRISPR knockout screen"" / ""CRISPR screening"" (functional-genomics methodology, not CRISPR therapeutics)"
crispr,38316463,yes,"CRISPR is the paper's central technology, in the title and the core experiment — ""we performed a whole-genome CRISPR loss-of-function screen and revealed temporal inherent and acquired responses to RT"" — though note it is applied as a discovery screen rather than as a gene-editing therapeutic.",
crispr,39054866,yes,"CRISPR is reviewed as a therapeutic intervention across a dedicated passage (17 mentions): ""the CRISPR/Cas9 system has been evolved into gene therapy of CRC, which implicated in molecularly targeted drug delivery or in vivo targeted knockout.""",
crispr,39242595,yes,"CRISPR is the therapeutic engineering tool applied: ""Here we utilize CRISPR-Cas9 technology to delete prolyl hydroxylase domain-containing enzymes (PHD) 2 and 3... in CD8 T cells"" to improve adoptive cell therapy.",
crispr,39311156,yes,"The review devotes a full section, ""2.1. CRISPR-Based Gene Editing in CAR-T Therapy"", to knock-in/knock-out strategies and CRISPR/Cas9 clinical trials (NCT06128044, NCT03545815).",
crispr,39830516,no,"CRISPR appears only as a cloning tool for building the virus -- ""we constructed a tumor-selective vaccinia virus (VV) with deletions of the TK and A49 genes ... using CRISPR-Cas9-based homologous recombination"" -- not as a therapeutic gene-editing modality.","""CRISPR-Cas9-based homologous recombination"" / ""CRISPR/Cas9 system"" used as a virus-construction method"
crispr,40114032,yes,"The paper builds and characterises CRISPR effector knock-in mice -- ""knock-in mice ... with the conditional or constitutive expression of LbCas12a or of high-fidelity enhanced AsCas12a"" used for ""autochthonous cancer modelling through the delivery of multiple CRISPR RNAs"" and immune-cell engineering.",
crispr,40297577,borderline,"CRISPR gets a named review section but is applied to the parasite rather than to the tumour or immune cells -- ""CRISPR/Cas9 gene editing helminth"" ... ""CRISPR/Cas9 gene editing can enhance the safety of parasite eggs"" -- so it is an enabling tool for helminth therapy, not a CRISPR cancer therapeutic.","""CRISPR/Cas9"" / ""gene editing"" applied to helminths, not to cancer or immune cells"
crispr,40513886,yes,"CRISPR is a substantive subject with its own subsections, including ""innovative findings should be mentioned regarding CRISPR/Cas9 delivery"" and a section headed ""Beyond delivery: Aptamers as CRISPR/Cas9 regulators and epigenetic modifiers"".",
crispr,41137066,yes,"Genome editing is the subject of the review: ""genome-editing technologies such as ZFNs, TALENs, Meganucleases, CRISPR systems, base editing, and prime editing are being employed"" to build universal allogeneic CAR-T cells.",
electrochemical-therapy,21214290,yes,"The article is the first clinical application of irreversible electroporation in brain tumour: ""Non-thermal irreversible electroporation (N-TIRE) has shown promise as an ablative therapy for a variety of soft-tissue neoplasms,"" applied here to a canine malignant glioma.",
electrochemical-therapy,28445252,yes,"The entire article is an IRE review: ""This review aims to investigate the studies regarding the use of IRE treatment in liver tumors and metastases to liver"", and irreversible electroporation is explicitly inside this mechanism's definition.",
electrochemical-therapy,28932093,yes,"The case report concerns a patient ""who underwent IRE for locally advanced pancreatic cancer"", and irreversible electroporation is explicitly within the electrochemical-therapy definition.",
electrochemical-therapy,29694357,yes,"The study is squarely on irreversible electroporation, which the taxonomy includes: ""to develop a statistical model for cell death by irreversible electroporation (IRE)... using cervical cancer cells in vitro"".",
electrochemical-therapy,30071779,yes,"The review's entire scope is IRE, which the taxonomy explicitly includes: ""summarizes first findings in the implementation of navigation in percutaneous interventions using irreversible electroporation.""",
electrochemical-therapy,30465255,yes,"A 52-patient clinical series of exactly the named modality: ""Percutaneous Irreversible Electroporation (IRE) of Hepatic Malignancy"", with IRE described as ""a non-thermal ablative option"".",
electrochemical-therapy,31850550,yes,"The whole study is built around irreversible electroporation: ""Irreversible electroporation (IRE) is a nonthermal tissue ablation technique"" applied to rabbit VX2 liver tumors, with IRE versus reversibly electroporated zones as the endpoint.",
electrochemical-therapy,35128843,yes,"Irreversible electroporation is a primary studied modality, per the title ""Enhances Pancreatic Cancer Response to Combined Irreversible Electroporation and Immunotherapy"" (MeSH: Electroporation).",
electrochemical-therapy,36572706,yes,The study is entirely an irreversible electroporation dose-finding experiment: 'the effect of different applied voltages of IRE on prostate cancer was evaluated in BALB/c nude mice'.,
electrochemical-therapy,36831465,yes,"The review contains a dedicated section 5.3 Electroporation reviewing irreversible electroporation with clinical evidence: ""a recent multicenter phase II clinical trial revealed that percutaneous IRE in 50 patients with locally advanced and recurrent PC seems to prolong overall survival... Currently, sixteen ongoing registered clinical trials... are being conducted to further investigate IRE for P",
electrochemical-therapy,36901812,yes,"A dedicated review of ""Irreversible Electroporation in Pancreatic Cancer"", where ""IRE involves using high-voltage, low-energy electrical pulses"" as ablation therapy, which the taxonomy explicitly includes.",
electrochemical-therapy,38195916,yes,"""Irreversible electroporation (IRE) is a novel technique to treat localized prostate cancer"" and 411 patients were treated with it, which the taxonomy explicitly includes.",
electrochemical-therapy,38711517,yes,"The study is built on irreversible electroporation, explicitly within this mechanism's definition: ""Irreversible electroporation (IRE) is a non-thermal tumor ablation modality that employs high-voltage microsecond pulses"", applied and mechanistically dissected in a mouse pancreatic model.",
electrochemical-therapy,40832328,yes,"The paper's central intervention is stated in its title: ""Novel combination of irreversible electroporation and allogenic chimeric antigen receptor (CAR) T-cell therapy synergizes therapeutic outcomes in a preclinical human pancreatic cancer mouse model.""",
electrochemical-therapy,41105967,borderline,"IRE is only the comparator/prior therapy the studied intervention substitutes for -- ""Subsegmental bland embolization is safe and effective, having the potential to stabilize HEHE not otherwise suitable for surgery or IRE"" -- though the review section does summarise one IRE series (Narayanan et al.), so it is context rather than subject.","""Irreversible electroporation"" / ""IRE"" (comparator modality named in the abstract and patient histories)"
electrolysis,11570977,yes,"The entire study is electrolytic ablation: ""Tissue electrolysis is the delivery of a direct current between an anode and cathode to induce localised necrosis... Electrolysis in the rat pancreas produced localised necrosis and appears both safe, and reproducible.""",
electrolysis,16845720,yes,"The study is direct-current electrolytic ablation -- ""Electrochemical therapy (ECT) has been used to treat unresectable hepatic tumor"" and ""coagulative necrosis was found in both anode and cathode areas"" with dose expressed in coulombs.",
electrolysis,29725584,yes,"The study measures electrolytic ablation chemistry directly: ""H+ ion results from the electrolytic decomposition of the water at the anode (2H2O → O2 + 4H+ + 4e−)"", framed as electrode-array design for ""electrochemical therapy ... for cancer"".",
electrolysis,30271931,yes,"The paper is electrolytic ablation itself: ""Electrolytic ablation enables cancer cell targeting through pH modulation.""",
electrolysis,32001732,yes,"The paper develops an electrolytic ablation device: ""Electrolytic ablation (EA) is a promising nonthermal tumor ablation technique... we report an ultrasonically powered implantable EA microprobe.""",
electrolysis,32381006,yes,"The study is direct-current electrolytic ablation with needle electrodes, concluding ""electrochemical therapy may be potentially addressed to highly aggressive and metastic primary F3II murine mammary carcinoma,"" with the mechanism discussed as the ""pH fronts generated by"" the electrode arrays.",
electrolysis,32985353,yes,"Electrolytic ablation is the studied modality: ""Tissue electrolysis is an alternative modality that uses a low intensity direct electric current... Incorporation of electroporation into electrolysis can decrease the treatment time and enhance the efficiency of electrolytic ablation"".",
electrolysis,37989902,yes,"The study's intervention is electrolytic: ""Electrochemical reactions create local pH effects when a current passes through an electrolytic substrate such as biological tissue"", and it develops cathodic electrochemical reactions to alkalinise the TME as a stand-alone or adjunct therapy.",
electrolysis,38975706,yes,"The work develops gold nanoantennas as ""nanoelectrocatalysts for EA"" where ""Electrolytic ablation (EA) is a burgeoning treatment for solid tumors"", demonstrating efficacy in colorectal cancer in vitro and in vivo.",
electrolysis,40411849,yes,"An implanted anode drives electrolytic chlorine chemistry as the therapy -- ""RCS can be generated through the electrochemical oxidation of abundant Cl-"" via ""the chlorine evolution reaction (CER)"" showing ""remarkable tumor-suppressive efficacy under low-voltage (3 V) condition in in vivo experiments.""",
electrolysis,40423138,no,"The word electrolysis never occurs in the article body; the therapy studied is electroporation-mediated drug delivery, ""2 V will be used as the electroporation voltage in all the next ECT experiments"", i.e. electrochemotherapy with Ag@CeO2 nanoparticles, not electrolytic ablation.","electrochemical therapy (ECT) / electrochemotherapy (plus the unrelated synthesis word ""pyrolysis"")"
epigenetic,27453763,yes,"Epigenetic therapy is the subject, including a clinical trial: 'the combination of DNMTI with histone deacetylase inhibitor (HDI) would be an active and feasible therapeutic strategy in RR-DLBCL... we determined the feasibility of the combination by conducting a phase Ib trial'.",
epigenetic,35566130,yes,"Epigenetic therapy is the stated subject: black seed oil ""targeting several epigenetic players, including ... UHRF1 ... DNMT1 and HDAC1"" and ""represents a promising strategy for epigenetic therapy for both solid and blood tumors.""",
epigenetic,35642676,yes,"The review is explicitly about ""incorporating epigenetic therapy into immunotherapy, called epi-immunotherapy"" and surveys clinical trials of epi-drugs.",
epigenetic,36694230,borderline,"The paper is a methylation biomarker/mechanism study (""Promoter hypermethylation-induced miR-424-5p downregulation contributes to COL12A1 upregulation"") that uses decitabine only to validate methylation control and merely proposes therapy in its conclusion: ""COL12A1 is a promising druggable target for epigenetic therapy of iCCA.""","the phrase ""epigenetic therapy"" in the conclusion plus ""DNA methylation""/""decitabine"" used as mechanistic tools"
epigenetic,37398660,yes,"Epigenetic therapy is one of the review's named strategies with its own section -- ""Strategies to reinvigorate CD8+ TEXs in TME mainly include ICB, transcription factor-based therapy, epigenetic therapy, metabolism-based therapy and cytokine therapy"" -- detailing decitabine (DAC) and DNMT3A-knockout CAR-T.",
epigenetic,37749042,yes,"The case report is explicitly about epigenetic therapy: ""[Dual epigenetic therapy in TET2 gene positive extranodal peripheral T-cell lymphoma...]"", treating with chidamide (HDACi) plus azacitidine (DNMTi), i.e. ""组蛋白去乙酰化酶抑制剂（HDACi）联合DNA甲基转移酶抑制剂（DNMTi）双表观遗传治疗"".",
epigenetic,38696033,yes,"The review's explicit goal is combination epigenetic therapy: ""Data from ongoing pre-clinical and clinical studies will further precisely define the potential use of epigenetic therapy together with FLT3Is"" targeting DNMT3A/TET2/IDH1-2 methylome regulators.",
epigenetic,38889339,yes,"""histone deacetylase inhibitors (HDACi) have emerged as a promising epigenetic therapy"" and the nanoparticle co-delivers HDACi MS-275 as the therapeutic payload.",
