pmid,sample_mechanism,sample_bucket,predicted_evidence_level,title,year,journal,pub_types,mechanisms,abstract_excerpt,gold_evidence_level,gold_label_status,gold_notes
36313716,mRNA-vaccine,predicted-tagged,preclinical-invivo,An OX40L mRNA vaccine inhibits the growth of hepatocellular carcinoma.,2022,Frontiers in oncology,Journal Article,immunotherapy | mRNA-vaccine | nanoparticle,"mrna cancer vaccines show therapeutic potential for malignant tumors, including hepatocellular carcinoma (hcc). we optimized and synthesized stable mrna encoding costimulator oxford 40 ligand (ox40l). for systemic delivery, ox40l mrnas were loaded into lipid nanoparticles (lnps). the expression and costimulatory effects of ox40l were investigated in vitro. ox40l was expressed on the cell surface and costimulated t cells. in vivo, intratumoral injection of lnps encapsulating ox40l mrnas significa...",,pending,
39380383,mRNA-vaccine,predicted-tagged,preclinical-invitro,Transformable Gel-to-Nanovaccine Enhances Cancer Immunotherapy via Metronomic-Like Immunomodulation and Collagen-Mediated Paracortex Delivery.,2024,"Advanced materials (Deerfield Beach, Fla.)","Journal Article | Research Support, Non-U.S. Gov't",immunotherapy | mRNA-vaccine | nanoparticle,"the generation of non-exhausted effector t-cells depends on vaccine's spatiotemporal profile, and untimely delivery and low targeting to lymph node (ln) paracortex by standard bolus immunization show limited efficacy. by recapitulating the dynamic processes of acute infection, a bioadhesive immune niche domain (bind) is developed that facilitates the delivery of timely-activating conjugated nanovaccine (t-cnv) in a metronomic-like manner and increased the accumulation and retention of tannylated...",,pending,
39403328,mRNA-vaccine,predicted-tagged,preclinical-invitro,Potential tumor-specific antigens and immune landscapes identification for mRNA vaccine in thyroid cancer.,2024,Frontiers in oncology,Journal Article,immunotherapy | mRNA-vaccine,"**background**: tumor mrna vaccines have been identified as a promising technology for cancer therapy in multiple cancer types, while their efficacy in thyroid cancer (thca) is unclear. immunotyping is strongly associated with the immune microenvironment and immune status in cancer, thus it is important in vaccination and therapeutic response. this study is to identify potential valuable antigens and novel immune subtypes of thca for immune landscape construction, thus screening patients suitabl...",,pending,
39910301,mRNA-vaccine,predicted-tagged,phase1-clinical,A neoantigen vaccine generates antitumour immunity in renal cell carcinoma.,2025,Nature,"Journal Article | Clinical Trial, Phase I",immunotherapy | mRNA-vaccine,"personalized cancer vaccines (pcvs) can generate circulating immune responses against predicted neoantigens1-6. however, whether such responses can target cancer driver mutations, lead to immune recognition of a patient's tumour and result in clinical activity are largely unknown. these questions are of particular interest for patients who have tumours with a low mutational burden. here we conducted a phase i trial (clinicaltrials.gov identifier nct02950766) to test a neoantigen-targeting pcv in...",,pending,
39972124,mRNA-vaccine,predicted-tagged,phase1-clinical,RNA neoantigen vaccines prime long-lived CD8+ T cells in pancreatic cancer.,2025,Nature,"Journal Article | Clinical Trial, Phase I",immunotherapy | mRNA-vaccine | nanoparticle,"a fundamental challenge for cancer vaccines is to generate long-lived functional t cells that are specific for tumour antigens. here we find that mrna-lipoplex vaccines against somatic mutation-derived neoantigens may solve this challenge in pancreatic ductal adenocarcinoma (pdac), a lethal cancer with few mutations. at an extended 3.2-year median follow-up from a phase 1 trial of surgery, atezolizumab (pd-l1 inhibitory antibody), autogene cevumeran1 (individualized neoantigen vaccine with backb...",,pending,
40519325,mRNA-vaccine,predicted-tagged,phase1-clinical,Preclinical toxicological assessment of an α-galactosylceramide-adjuvanted mRNA cancer vaccine in Wistar Han rats and domestic pigs.,2025,Molecular therapy. Methods & clinical development,Journal Article,mRNA-vaccine | nanoparticle,"galsome-neo is a glycolipid-adjuvanted mrna lipid nanoparticle (lnp) cancer vaccine encoding neo-epitopes for evaluation in a phase 1 study in patients with non-small cell lung cancer. to assess the safety of galsome-neo, a repeated-dose toxicity study was conducted in wistar han rats involving three intramuscular doses of 30 μg mrna. a dose-escalation study in piglets tested three doses of 3, 15, and 100 μg mrna. rats showed a pronounced pro-inflammatory response, evidenced by cytokine secretio...",,pending,
40700574,mRNA-vaccine,predicted-tagged,preclinical-invivo,A BCMA-mRNA vaccine is a promising therapeutic for multiple myeloma.,2025,Blood,Journal Article,mRNA-vaccine | nanoparticle,"cancer vaccines are emerging as promising therapies to not only prevent cancer but to treat cancer. here, we developed a therapeutic vaccine for multiple myeloma (mm) using b-cell maturation antigen (bcma) protein as a target. given the remarkable efficacy of covid-19 messenger rna (mrna) vaccines, we first packaged sequence- and base-optimized bcma mrna into lipid nanoparticles (lnps) using next-generation ionizable lipid, enhancing their accumulation in the spleen. a toll-like receptor 3 agoni...",,pending,
41088223,mRNA-vaccine,predicted-tagged,preclinical-invivo,Reversal of tumour immune evasion via enhanced MHC-Class-I antigen presentation by a dual-functional RNA regulated system.,2025,Molecular cancer,Journal Article,immunotherapy | mRNA-vaccine | nanoparticle,"**background**: motivating the immune system to target tumour cells plays an increasingly prominent role in the treatment of hepatocellular carcinoma (hcc), but challenges such as low overall response rates persist in current clinical practice. tumour cell mhc-class-i (mhc-i) downregulation and antigen loss are typical mechanisms of immune evasion. to this end, a dual-functional rna-based strategy was conceived for hcc immunotherapy. **methods**: mhc-i expression on hcc and paratumour tissues fr...",,pending,
41760870,mRNA-vaccine,predicted-tagged,preclinical-invivo,Structurally-optimised HPV16 E7/E6 mRNA-LPP mediates dose-sparing efficacy via tumour microenvironment reprogramming.,2026,Molecular biomedicine,Journal Article,mRNA-vaccine,"the development of therapeutic vaccines against human papillomavirus (hpv)-associated malignancies remains challenging due to the immunosuppressive tumour microenvironment and the limited efficacy of existing delivery platforms. in this study, we designed and systematically compared two mrna vaccine strategies based on a core-shell structured lipopolyplex (lpp) delivery system: a codon- and untranslated region-optimised non-replicating mrna (nr-mrna) and a self-amplifying mrna (sa-mrna). in the ...",,pending,
35265614,mRNA-vaccine,predicted-untagged,,Identification of Tumor Antigens and Immune Subtypes in Lung Adenocarcinoma for mRNA Vaccine Development.,2022,Frontiers in cell and developmental biology,Journal Article,immunotherapy | mRNA-vaccine,"cancer vaccines are emerging as a viable strategy for cancer treatment. in the current study, we screened for genes associated with the prognosis of patients with lung adenocarcinoma and positively correlated with antigen-presenting cell infiltration and identified klrg1 and cbfa2t3 as potential tumor antigens for mrna vaccines in lung adenocarcinoma (luad). further analyses of immune subtypes revealed that patients with early-stage luad, high immune cell infiltration, high immune checkpoint exp...",,pending,
35818395,mRNA-vaccine,predicted-untagged,,Identification of mRNA vaccines and conserved ferroptosis related immune landscape for individual precision treatment in bladder cancer.,2022,Journal of big data,Journal Article,immunotherapy | mRNA-vaccine,"**background**: the aim of this study was to identify the ferroptosis induced tumor microenvironment (feme) landscape in bladder cancer (bca) for mrna vaccine development and selecting suitable patients for precision treatment. **methods**: gene expression profiles and clinical information of 1216 bca patients were extracted from tcga-blca, three geo databases and imvigor210 cohort. we comprehensively established the feme landscape of 1216 bca samples based on 290 ferroptosis related genes (frgs...",,pending,
36245631,mRNA-vaccine,predicted-untagged,,Identification of tumor antigens and immune subtypes in lung squamous cell carcinoma for mRNA vaccine development.,2022,Journal of thoracic disease,Journal Article,mRNA-vaccine,"**background**: cancer vaccines are therapies that activate the patient's own immune system by inoculating the patient with cancer-specific antigens to identify and clear cancer cells. messenger ribonucleic acid (mrna) vaccines have received much attention because of their ease of synthesis, relative affordability, and long-term safety, but have not been studied in lung squamous cell carcinoma (lusc). thus, the identification of tumor antigens is necessary to facilitate the development of mrna v...",,pending,
36405755,mRNA-vaccine,predicted-untagged,,Identifying tumor antigens and immune subtypes of renal cell carcinoma for immunotherapy development.,2022,Frontiers in immunology,Journal Article,immunotherapy | mRNA-vaccine,"renal cell carcinoma (rcc) is one of the leading causes of death in men. messenger ribonucleic acid (mrna) vaccines may be an attractive means to achieve satisfactory results. cancer immunotherapy is a promising cancer treatment strategy. however, immunotherapy is not widely used in renal cell carcinoma, as only a few patients show a positive response. the present study aimed to identify potential antigens associated with renal cell carcinoma to develop an anti-renal cell carcinoma mrna vaccine....",,pending,
36671475,mRNA-vaccine,predicted-untagged,,Screening of Tumor Antigens and Construction of Immune Subtypes for mRNA Vaccine Development in Head and Neck Squamous Cell Carcinoma.,2022,Biomolecules,"Journal Article | Research Support, Non-U.S. Gov't",immunotherapy | mRNA-vaccine,"**background**: a growing number of clinical studies have confirmed that mrna vaccines are effective in the treatment of malignant tumors; however, their efficacy in head and neck squamous cell carcinoma (hnscc) has not been determined. this study aimed to identify the potential antigens of hnscc for mrna vaccine development and further distinguish the immune subtypes of hnscc to select suitable patients for vaccination. **methods**: we obtained gene expression profiles and corresponding clinica...",,pending,
37428918,mRNA-vaccine,predicted-untagged,,Comb-structured mRNA vaccine tethered with short double-stranded RNA adjuvants maximizes cellular immunity for cancer treatment.,2023,Proceedings of the National Academy of Sciences of the United States of America,"Journal Article | Research Support, Non-U.S. Gov't",mRNA-vaccine | nanoparticle,"integrating antigen-encoding mrna (messenger rna) and immunostimulatory adjuvant into a single formulation is a promising approach to potentiating the efficacy of mrna vaccines. here, we developed a scheme based on rna engineering to integrate adjuvancy directly into antigen-encoding mrna strands without hampering the ability to express antigen proteins. short double-stranded rna (dsrna) was designed to target retinoic acid-inducible gene-i (rig-i), an innate immune receptor, for effective cance...",,pending,
38514186,mRNA-vaccine,predicted-untagged,,Immunogenicity and effectiveness of an mRNA therapeutic vaccine for HPV-related malignancies.,2024,Life science alliance,Journal Article,mRNA-vaccine | nanoparticle,"human papillomavirus (hpv) infections account for several human cancers. there is an urgent need to develop therapeutic vaccines for targeting preexisting high-risk hpv (such as hpv 16 and 18) infections and lesions, which are insensitive to preventative vaccines. in this study, we developed a lipid nanoparticle-formulated mrna-based hpv therapeutic vaccine (mhtv), mhtv-02, targeting the e6/e7 of hpv16 and hpv-18. mhtv-02 dramatically induced antigen-specific cellular immune response and robust ...",,pending,
40432113,mRNA-vaccine,predicted-untagged,,Unlocking mRNA Vaccine Potential in Liver Cancer Treatment via Synergistic Bile Acid Modulation.,2025,Vaccines,Journal Article,immunotherapy | mRNA-vaccine,"this letter to the editor explores synergistic mechanisms enhancing mrna cancer vaccine efficacy through bile acid metabolism modulation in liver cancer treatment. the latest evidence indicates that bile acids significantly impair t cell function within the liver cancer microenvironment, creating an immunosuppressive milieu that hampers anti-tumor responses. modulating bile acid composition, particularly increasing ursodeoxycholic acid (udca), could reshape the tumor microenvironment (tme) to fa...",,pending,
41377431,mRNA-vaccine,predicted-untagged,,Messenger RNA vaccines as adjuncts to surgical oncology: a new era in neoplasm immunotherapy and precision medicine.,2025,Annals of medicine and surgery (2012),Letter,immunotherapy | mRNA-vaccine,"messenger rna (mrna) vaccines are emerging as powerful tools in oncology, extending their success from infectious diseases to cancer immunotherapy. globally, over 13.5 billion mrna vaccine doses have been administered, establishing a strong safety and adaptability record. in surgical oncology, where 25-40% of patients experience postoperative recurrence, mrna vaccines offer a new avenue for durable immune surveillance. personalized mrna vaccines encoding tumor-specific neoantigens have shown 44%...",,pending,
41662350,mRNA-vaccine,predicted-untagged,,Multi-seed searching algorithm for integrated codon optimization of mRNA stability and translational efficiency in vaccine design.,2026,Briefings in bioinformatics,Journal Article,immunotherapy | mRNA-vaccine,"messenger rna (mrna) vaccines have revolutionized vaccinology with their rapid development cycles and adaptability, yet their broad application is constrained by unresolved challenges in balancing mrna structural stability and translational efficiency. here, we introduce a groundbreaking multi-seed searching algorithm for mrna codon optimization, an innovative framework that synergistically co-optimizes minimum free energy and codon adaptation index through adaptive integration of simulated anne...",,pending,
25928327,electrochemical-therapy,predicted-tagged,preclinical-invivo,Preclinical Study of Locoregional Therapy of Hepatocellular Carcinoma by Bioelectric Ablation with Microsecond Pulsed Electric Fields (μsPEFs).,2015,Scientific reports,"Journal Article | Research Support, Non-U.S. Gov't",electrochemical-therapy,"unresectable hepatocellular carcinoma (hcc) needs locoregional ablation as a curative or downstage therapy. microsecond pulsed electric fields (μspefs) is an option. a xenograft tumor model was set up on 48 nude mice by injecting human hepatocellular carcinoma hep3b cells subcutaneously. the tumor-bearing mice were randomly divided into 3 groups: μspefs treated, sham and control group. μspefs group was treated by μspefs twice in 5 days. tumor volume, survival, pathology, mitochondria function an...",,pending,
27693939,electrochemical-therapy,predicted-tagged,preclinical-invivo,Irreversible electroporation inhibits pro-cancer inflammatory signaling in triple negative breast cancer cells.,2017,"Bioelectrochemistry (Amsterdam, Netherlands)",Journal Article,electrochemical-therapy,"low-level electric fields have been demonstrated to induce spatial re-distribution of cell membrane receptors when applied for minutes or hours. however, there is limited literature on the influence on cell signaling with short transient high-amplitude pulses typically used in irreversible electroporation (ire) for cancer treatment. moreover, literature on signaling pertaining to immune cell trafficking after ire is conflicting. we hypothesized that pulse parameters (field strength and exposure ...",,pending,
30071778,electrochemical-therapy,predicted-tagged,clinical-other,High-Frequency Irreversible Electroporation for Intracranial Meningioma: A Feasibility Study in a Spontaneous Canine Tumor Model.,2018,Technology in cancer research & treatment,"Journal Article | Research Support, Non-U.S. Gov't",electrochemical-therapy,"high-frequency irreversible electroporation is a nonthermal method of tissue ablation that uses bursts of 0.5- to 2.0-microsecond bipolar electric pulses to permeabilize cell membranes and induce cell death. high-frequency irreversible electroporation has potential advantages for use in neurosurgery, including the ability to deliver pulses without inducing muscle contraction, inherent selectivity against malignant cells, and the capability of simultaneously opening the blood-brain barrier surrou...",,pending,
30986263,electrochemical-therapy,predicted-tagged,clinical-other,"Prostate cancer treatment with Irreversible Electroporation (IRE): Safety, efficacy and clinical experience in 471 treatments.",2019,PloS one,Journal Article,electrochemical-therapy,**background**: irreversible electroporation (ire) is a novel image-guided tissue ablation technology that induces cell death via very short but strong pulsed electric fields. ire has been shown to have preserving properties towards vessels and nerves and the extracellular matrix. this makes ire an ideal candidate to treat prostate cancer (pca) where other treatment modalities frequently unselectively destroy surrounding structures inducing severe side effects like incontinence or impotence. we ...,,pending,
31581445,electrochemical-therapy,predicted-tagged,preclinical-invivo,Antitumor Efficacy of Liposome-Encapsulated NVP-BEZ235 Combined with Irreversible Electroporation for Head and Neck Cancer.,2019,"Molecules (Basel, Switzerland)",Comparative Study | Journal Article,electrochemical-therapy | nanoparticle,"irreversible electroporation (ire) kills tumor cells by the delivery of short pulses of strong electric fields. however, the field strength decreases with distance from the treatment center. when ire cannot eradicate the entire tumor mass, the surviving tumor cells can regrow. nvp-bez235 is a dual pi3k/mtor inhibitor that has been administered orally in clinical trials. however, its hydrophobicity and poor water solubility make nvp-bez235 difficult to deliver to target areas. to improve its phar...",,pending,
33114476,electrochemical-therapy,predicted-tagged,preclinical-invivo,Combination of Irreversible Electroporation and STING Agonist for Effective Cancer Immunotherapy.,2020,Cancers,Journal Article,electrochemical-therapy | immunotherapy,"recently, cancer immunotherapy has received attention as a viable solution for the treatment of refractory tumors. however, it still has clinical limitations in its treatment efficacy due to inter-patient tumor heterogeneity and immunosuppressive tumor microenvironment (tme). in this study, we demonstrated the triggering of anti-cancer immune responses by a combination of irreversible electroporation (ire) and a stimulator of interferon genes (sting) agonist. optimal electrical conditions induci...",,pending,
33396317,electrochemical-therapy,predicted-tagged,preclinical-invitro,Oxidative Effects during Irreversible Electroporation of Melanoma Cells-In Vitro Study.,2020,"Molecules (Basel, Switzerland)",Journal Article,electrochemical-therapy,"irreversible electroporation (ire) is today used as an alternative to surgery for the excision of cancer lesions. this study aimed to investigate the oxidative and cytotoxic effects the cells undergo during irreversible electroporation using ire protocols. to do so, we used ire-inducing pulsed electric fields (pefs) (eight pulses of 0.1 ms duration and 2-4 kv/cm intensity) and compared their effects to those of pefs of intensities below the electroporation threshold (eight pulses, 0.1 ms, 0.2-0....",,pending,
